X,Y
3e-06,3e-06
3e-06,6e-06
3e-06,9e-06
3e-06,1.2e-05
3e-06,1.5e-05
3e-06,1.8e-05
3e-06,2.1e-05
3e-06,2.4e-05
3e-06,2.7e-05
3e-06,3e-05
3e-06,3.3e-05
3e-06,3.6e-05
3e-06,3.9e-05
3e-06,4.2e-05
3e-06,4.5e-05
3e-06,4.8e-05
3e-06,5.1e-05
3e-06,5.4e-05
3e-06,5.7e-05
3e-06,6e-05
3e-06,6.3e-05
3e-06,6.6e-05
3e-06,6.9e-05
3e-06,7.2e-05
3e-06,7.5e-05
3e-06,7.8e-05
3e-06,8.1e-05
3e-06,8.4e-05
3e-06,8.7e-05
3e-06,9e-05
3e-06,9.3e-05
3e-06,9.6e-05
3e-06,9.9e-05
3e-06,0.000102
3e-06,0.000105
3e-06,0.000108
3e-06,0.000111
3e-06,0.000114
3e-06,0.000117
3e-06,0.00012
3e-06,0.000123
3e-06,0.000126
3e-06,0.000129
3e-06,0.000132
3e-06,0.000135
3e-06,0.000138
3e-06,0.000141
3e-06,0.000144
3e-06,0.000147
3e-06,0.00015
6e-06,3e-06
6e-06,6e-06
6e-06,9e-06
6e-06,1.2e-05
6e-06,1.5e-05
6e-06,1.8e-05
6e-06,2.1e-05
6e-06,2.4e-05
6e-06,2.7e-05
6e-06,3e-05
6e-06,3.3e-05
6e-06,3.6e-05
6e-06,3.9e-05
6e-06,4.2e-05
6e-06,4.5e-05
6e-06,4.8e-05
6e-06,5.1e-05
6e-06,5.4e-05
6e-06,5.7e-05
6e-06,6e-05
6e-06,6.3e-05
6e-06,6.6e-05
6e-06,6.9e-05
6e-06,7.2e-05
6e-06,7.5e-05
6e-06,7.8e-05
6e-06,8.1e-05
6e-06,8.4e-05
6e-06,8.7e-05
6e-06,9e-05
6e-06,9.3e-05
6e-06,9.6e-05
6e-06,9.9e-05
6e-06,0.000102
6e-06,0.000105
6e-06,0.000108
6e-06,0.000111
6e-06,0.000114
6e-06,0.000117
6e-06,0.00012
6e-06,0.000123
6e-06,0.000126
6e-06,0.000129
6e-06,0.000132
6e-06,0.000135
6e-06,0.000138
6e-06,0.000141
6e-06,0.000144
6e-06,0.000147
6e-06,0.00015
9e-06,3e-06
9e-06,6e-06
9e-06,9e-06
9e-06,1.2e-05
9e-06,1.5e-05
9e-06,1.8e-05
9e-06,2.1e-05
9e-06,2.4e-05
9e-06,2.7e-05
9e-06,3e-05
9e-06,3.3e-05
9e-06,3.6e-05
9e-06,3.9e-05
9e-06,4.2e-05
9e-06,4.5e-05
9e-06,4.8e-05
9e-06,5.1e-05
9e-06,5.4e-05
9e-06,5.7e-05
9e-06,6e-05
9e-06,6.3e-05
9e-06,6.6e-05
9e-06,6.9e-05
9e-06,7.2e-05
9e-06,7.5e-05
9e-06,7.8e-05
9e-06,8.1e-05
9e-06,8.4e-05
9e-06,8.7e-05
9e-06,9e-05
9e-06,9.3e-05
9e-06,9.6e-05
9e-06,9.9e-05
9e-06,0.000102
9e-06,0.000105
9e-06,0.000108
9e-06,0.000111
9e-06,0.000114
9e-06,0.000117
9e-06,0.00012
9e-06,0.000123
9e-06,0.000126
9e-06,0.000129
9e-06,0.000132
9e-06,0.000135
9e-06,0.000138
9e-06,0.000141
9e-06,0.000144
9e-06,0.000147
9e-06,0.00015
1.2e-05,3e-06
1.2e-05,6e-06
1.2e-05,9e-06
1.2e-05,1.2e-05
1.2e-05,1.5e-05
1.2e-05,1.8e-05
1.2e-05,2.1e-05
1.2e-05,2.4e-05
1.2e-05,2.7e-05
1.2e-05,3e-05
1.2e-05,3.3e-05
1.2e-05,3.6e-05
1.2e-05,3.9e-05
1.2e-05,4.2e-05
1.2e-05,4.5e-05
1.2e-05,4.8e-05
1.2e-05,5.1e-05
1.2e-05,5.4e-05
1.2e-05,5.7e-05
1.2e-05,6e-05
1.2e-05,6.3e-05
1.2e-05,6.6e-05
1.2e-05,6.9e-05
1.2e-05,7.2e-05
1.2e-05,7.5e-05
1.2e-05,7.8e-05
1.2e-05,8.1e-05
1.2e-05,8.4e-05
1.2e-05,8.7e-05
1.2e-05,9e-05
1.2e-05,9.3e-05
1.2e-05,9.6e-05
1.2e-05,9.9e-05
1.2e-05,0.000102
1.2e-05,0.000105
1.2e-05,0.000108
1.2e-05,0.000111
1.2e-05,0.000114
1.2e-05,0.000117
1.2e-05,0.00012
1.2e-05,0.000123
1.2e-05,0.000126
1.2e-05,0.000129
1.2e-05,0.000132
1.2e-05,0.000135
1.2e-05,0.000138
1.2e-05,0.000141
1.2e-05,0.000144
1.2e-05,0.000147
1.2e-05,0.00015
1.5e-05,3e-06
1.5e-05,6e-06
1.5e-05,9e-06
1.5e-05,1.2e-05
1.5e-05,1.5e-05
1.5e-05,1.8e-05
1.5e-05,2.1e-05
1.5e-05,2.4e-05
1.5e-05,2.7e-05
1.5e-05,3e-05
1.5e-05,3.3e-05
1.5e-05,3.6e-05
1.5e-05,3.9e-05
1.5e-05,4.2e-05
1.5e-05,4.5e-05
1.5e-05,4.8e-05
1.5e-05,5.1e-05
1.5e-05,5.4e-05
1.5e-05,5.7e-05
1.5e-05,6e-05
1.5e-05,6.3e-05
1.5e-05,6.6e-05
1.5e-05,6.9e-05
1.5e-05,7.2e-05
1.5e-05,7.5e-05
1.5e-05,7.8e-05
1.5e-05,8.1e-05
1.5e-05,8.4e-05
1.5e-05,8.7e-05
1.5e-05,9e-05
1.5e-05,9.3e-05
1.5e-05,9.6e-05
1.5e-05,9.9e-05
1.5e-05,0.000102
1.5e-05,0.000105
1.5e-05,0.000108
1.5e-05,0.000111
1.5e-05,0.000114
1.5e-05,0.000117
1.5e-05,0.00012
1.5e-05,0.000123
1.5e-05,0.000126
1.5e-05,0.000129
1.5e-05,0.000132
1.5e-05,0.000135
1.5e-05,0.000138
1.5e-05,0.000141
1.5e-05,0.000144
1.5e-05,0.000147
1.5e-05,0.00015
1.8e-05,3e-06
1.8e-05,6e-06
1.8e-05,9e-06
1.8e-05,1.2e-05
1.8e-05,1.5e-05
1.8e-05,1.8e-05
1.8e-05,2.1e-05
1.8e-05,2.4e-05
1.8e-05,2.7e-05
1.8e-05,3e-05
1.8e-05,3.3e-05
1.8e-05,3.6e-05
1.8e-05,3.9e-05
1.8e-05,4.2e-05
1.8e-05,4.5e-05
1.8e-05,4.8e-05
1.8e-05,5.1e-05
1.8e-05,5.4e-05
1.8e-05,5.7e-05
1.8e-05,6e-05
1.8e-05,6.3e-05
1.8e-05,6.6e-05
1.8e-05,6.9e-05
1.8e-05,7.2e-05
1.8e-05,7.5e-05
1.8e-05,7.8e-05
1.8e-05,8.1e-05
1.8e-05,8.4e-05
1.8e-05,8.7e-05
1.8e-05,9e-05
1.8e-05,9.3e-05
1.8e-05,9.6e-05
1.8e-05,9.9e-05
1.8e-05,0.000102
1.8e-05,0.000105
1.8e-05,0.000108
1.8e-05,0.000111
1.8e-05,0.000114
1.8e-05,0.000117
1.8e-05,0.00012
1.8e-05,0.000123
1.8e-05,0.000126
1.8e-05,0.000129
1.8e-05,0.000132
1.8e-05,0.000135
1.8e-05,0.000138
1.8e-05,0.000141
1.8e-05,0.000144
1.8e-05,0.000147
1.8e-05,0.00015
2.1e-05,3e-06
2.1e-05,6e-06
2.1e-05,9e-06
2.1e-05,1.2e-05
2.1e-05,1.5e-05
2.1e-05,1.8e-05
2.1e-05,2.1e-05
2.1e-05,2.4e-05
2.1e-05,2.7e-05
2.1e-05,3e-05
2.1e-05,3.3e-05
2.1e-05,3.6e-05
2.1e-05,3.9e-05
2.1e-05,4.2e-05
2.1e-05,4.5e-05
2.1e-05,4.8e-05
2.1e-05,5.1e-05
2.1e-05,5.4e-05
2.1e-05,5.7e-05
2.1e-05,6e-05
2.1e-05,6.3e-05
2.1e-05,6.6e-05
2.1e-05,6.9e-05
2.1e-05,7.2e-05
2.1e-05,7.5e-05
2.1e-05,7.8e-05
2.1e-05,8.1e-05
2.1e-05,8.4e-05
2.1e-05,8.7e-05
2.1e-05,9e-05
2.1e-05,9.3e-05
2.1e-05,9.6e-05
2.1e-05,9.9e-05
2.1e-05,0.000102
2.1e-05,0.000105
2.1e-05,0.000108
2.1e-05,0.000111
2.1e-05,0.000114
2.1e-05,0.000117
2.1e-05,0.00012
2.1e-05,0.000123
2.1e-05,0.000126
2.1e-05,0.000129
2.1e-05,0.000132
2.1e-05,0.000135
2.1e-05,0.000138
2.1e-05,0.000141
2.1e-05,0.000144
2.1e-05,0.000147
2.1e-05,0.00015
2.4e-05,3e-06
2.4e-05,6e-06
2.4e-05,9e-06
2.4e-05,1.2e-05
2.4e-05,1.5e-05
2.4e-05,1.8e-05
2.4e-05,2.1e-05
2.4e-05,2.4e-05
2.4e-05,2.7e-05
2.4e-05,3e-05
2.4e-05,3.3e-05
2.4e-05,3.6e-05
2.4e-05,3.9e-05
2.4e-05,4.2e-05
2.4e-05,4.5e-05
2.4e-05,4.8e-05
2.4e-05,5.1e-05
2.4e-05,5.4e-05
2.4e-05,5.7e-05
2.4e-05,6e-05
2.4e-05,6.3e-05
2.4e-05,6.6e-05
2.4e-05,6.9e-05
2.4e-05,7.2e-05
2.4e-05,7.5e-05
2.4e-05,7.8e-05
2.4e-05,8.1e-05
2.4e-05,8.4e-05
2.4e-05,8.7e-05
2.4e-05,9e-05
2.4e-05,9.3e-05
2.4e-05,9.6e-05
2.4e-05,9.9e-05
2.4e-05,0.000102
2.4e-05,0.000105
2.4e-05,0.000108
2.4e-05,0.000111
2.4e-05,0.000114
2.4e-05,0.000117
2.4e-05,0.00012
2.4e-05,0.000123
2.4e-05,0.000126
2.4e-05,0.000129
2.4e-05,0.000132
2.4e-05,0.000135
2.4e-05,0.000138
2.4e-05,0.000141
2.4e-05,0.000144
2.4e-05,0.000147
2.4e-05,0.00015
2.7e-05,3e-06
2.7e-05,6e-06
2.7e-05,9e-06
2.7e-05,1.2e-05
2.7e-05,1.5e-05
2.7e-05,1.8e-05
2.7e-05,2.1e-05
2.7e-05,2.4e-05
2.7e-05,2.7e-05
2.7e-05,3e-05
2.7e-05,3.3e-05
2.7e-05,3.6e-05
2.7e-05,3.9e-05
2.7e-05,4.2e-05
2.7e-05,4.5e-05
2.7e-05,4.8e-05
2.7e-05,5.1e-05
2.7e-05,5.4e-05
2.7e-05,5.7e-05
2.7e-05,6e-05
2.7e-05,6.3e-05
2.7e-05,6.6e-05
2.7e-05,6.9e-05
2.7e-05,7.2e-05
2.7e-05,7.5e-05
2.7e-05,7.8e-05
2.7e-05,8.1e-05
2.7e-05,8.4e-05
2.7e-05,8.7e-05
2.7e-05,9e-05
2.7e-05,9.3e-05
2.7e-05,9.6e-05
2.7e-05,9.9e-05
2.7e-05,0.000102
2.7e-05,0.000105
2.7e-05,0.000108
2.7e-05,0.000111
2.7e-05,0.000114
2.7e-05,0.000117
2.7e-05,0.00012
2.7e-05,0.000123
2.7e-05,0.000126
2.7e-05,0.000129
2.7e-05,0.000132
2.7e-05,0.000135
2.7e-05,0.000138
2.7e-05,0.000141
2.7e-05,0.000144
2.7e-05,0.000147
2.7e-05,0.00015
3e-05,3e-06
3e-05,6e-06
3e-05,9e-06
3e-05,1.2e-05
3e-05,1.5e-05
3e-05,1.8e-05
3e-05,2.1e-05
3e-05,2.4e-05
3e-05,2.7e-05
3e-05,3e-05
3e-05,3.3e-05
3e-05,3.6e-05
3e-05,3.9e-05
3e-05,4.2e-05
3e-05,4.5e-05
3e-05,4.8e-05
3e-05,5.1e-05
3e-05,5.4e-05
3e-05,5.7e-05
3e-05,6e-05
3e-05,6.3e-05
3e-05,6.6e-05
3e-05,6.9e-05
3e-05,7.2e-05
3e-05,7.5e-05
3e-05,7.8e-05
3e-05,8.1e-05
3e-05,8.4e-05
3e-05,8.7e-05
3e-05,9e-05
3e-05,9.3e-05
3e-05,9.6e-05
3e-05,9.9e-05
3e-05,0.000102
3e-05,0.000105
3e-05,0.000108
3e-05,0.000111
3e-05,0.000114
3e-05,0.000117
3e-05,0.00012
3e-05,0.000123
3e-05,0.000126
3e-05,0.000129
3e-05,0.000132
3e-05,0.000135
3e-05,0.000138
3e-05,0.000141
3e-05,0.000144
3e-05,0.000147
3e-05,0.00015
3.3e-05,3e-06
3.3e-05,6e-06
3.3e-05,9e-06
3.3e-05,1.2e-05
3.3e-05,1.5e-05
3.3e-05,1.8e-05
3.3e-05,2.1e-05
3.3e-05,2.4e-05
3.3e-05,2.7e-05
3.3e-05,3e-05
3.3e-05,3.3e-05
3.3e-05,3.6e-05
3.3e-05,3.9e-05
3.3e-05,4.2e-05
3.3e-05,4.5e-05
3.3e-05,4.8e-05
3.3e-05,5.1e-05
3.3e-05,5.4e-05
3.3e-05,5.7e-05
3.3e-05,6e-05
3.3e-05,6.3e-05
3.3e-05,6.6e-05
3.3e-05,6.9e-05
3.3e-05,7.2e-05
3.3e-05,7.5e-05
3.3e-05,7.8e-05
3.3e-05,8.1e-05
3.3e-05,8.4e-05
3.3e-05,8.7e-05
3.3e-05,9e-05
3.3e-05,9.3e-05
3.3e-05,9.6e-05
3.3e-05,9.9e-05
3.3e-05,0.000102
3.3e-05,0.000105
3.3e-05,0.000108
3.3e-05,0.000111
3.3e-05,0.000114
3.3e-05,0.000117
3.3e-05,0.00012
3.3e-05,0.000123
3.3e-05,0.000126
3.3e-05,0.000129
3.3e-05,0.000132
3.3e-05,0.000135
3.3e-05,0.000138
3.3e-05,0.000141
3.3e-05,0.000144
3.3e-05,0.000147
3.3e-05,0.00015
3.6e-05,3e-06
3.6e-05,6e-06
3.6e-05,9e-06
3.6e-05,1.2e-05
3.6e-05,1.5e-05
3.6e-05,1.8e-05
3.6e-05,2.1e-05
3.6e-05,2.4e-05
3.6e-05,2.7e-05
3.6e-05,3e-05
3.6e-05,3.3e-05
3.6e-05,3.6e-05
3.6e-05,3.9e-05
3.6e-05,4.2e-05
3.6e-05,4.5e-05
3.6e-05,4.8e-05
3.6e-05,5.1e-05
3.6e-05,5.4e-05
3.6e-05,5.7e-05
3.6e-05,6e-05
3.6e-05,6.3e-05
3.6e-05,6.6e-05
3.6e-05,6.9e-05
3.6e-05,7.2e-05
3.6e-05,7.5e-05
3.6e-05,7.8e-05
3.6e-05,8.1e-05
3.6e-05,8.4e-05
3.6e-05,8.7e-05
3.6e-05,9e-05
3.6e-05,9.3e-05
3.6e-05,9.6e-05
3.6e-05,9.9e-05
3.6e-05,0.000102
3.6e-05,0.000105
3.6e-05,0.000108
3.6e-05,0.000111
3.6e-05,0.000114
3.6e-05,0.000117
3.6e-05,0.00012
3.6e-05,0.000123
3.6e-05,0.000126
3.6e-05,0.000129
3.6e-05,0.000132
3.6e-05,0.000135
3.6e-05,0.000138
3.6e-05,0.000141
3.6e-05,0.000144
3.6e-05,0.000147
3.6e-05,0.00015
3.9e-05,3e-06
3.9e-05,6e-06
3.9e-05,9e-06
3.9e-05,1.2e-05
3.9e-05,1.5e-05
3.9e-05,1.8e-05
3.9e-05,2.1e-05
3.9e-05,2.4e-05
3.9e-05,2.7e-05
3.9e-05,3e-05
3.9e-05,3.3e-05
3.9e-05,3.6e-05
3.9e-05,3.9e-05
3.9e-05,4.2e-05
3.9e-05,4.5e-05
3.9e-05,4.8e-05
3.9e-05,5.1e-05
3.9e-05,5.4e-05
3.9e-05,5.7e-05
3.9e-05,6e-05
3.9e-05,6.3e-05
3.9e-05,6.6e-05
3.9e-05,6.9e-05
3.9e-05,7.2e-05
3.9e-05,7.5e-05
3.9e-05,7.8e-05
3.9e-05,8.1e-05
3.9e-05,8.4e-05
3.9e-05,8.7e-05
3.9e-05,9e-05
3.9e-05,9.3e-05
3.9e-05,9.6e-05
3.9e-05,9.9e-05
3.9e-05,0.000102
3.9e-05,0.000105
3.9e-05,0.000108
3.9e-05,0.000111
3.9e-05,0.000114
3.9e-05,0.000117
3.9e-05,0.00012
3.9e-05,0.000123
3.9e-05,0.000126
3.9e-05,0.000129
3.9e-05,0.000132
3.9e-05,0.000135
3.9e-05,0.000138
3.9e-05,0.000141
3.9e-05,0.000144
3.9e-05,0.000147
3.9e-05,0.00015
4.2e-05,3e-06
4.2e-05,6e-06
4.2e-05,9e-06
4.2e-05,1.2e-05
4.2e-05,1.5e-05
4.2e-05,1.8e-05
4.2e-05,2.1e-05
4.2e-05,2.4e-05
4.2e-05,2.7e-05
4.2e-05,3e-05
4.2e-05,3.3e-05
4.2e-05,3.6e-05
4.2e-05,3.9e-05
4.2e-05,4.2e-05
4.2e-05,4.5e-05
4.2e-05,4.8e-05
4.2e-05,5.1e-05
4.2e-05,5.4e-05
4.2e-05,5.7e-05
4.2e-05,6e-05
4.2e-05,6.3e-05
4.2e-05,6.6e-05
4.2e-05,6.9e-05
4.2e-05,7.2e-05
4.2e-05,7.5e-05
4.2e-05,7.8e-05
4.2e-05,8.1e-05
4.2e-05,8.4e-05
4.2e-05,8.7e-05
4.2e-05,9e-05
4.2e-05,9.3e-05
4.2e-05,9.6e-05
4.2e-05,9.9e-05
4.2e-05,0.000102
4.2e-05,0.000105
4.2e-05,0.000108
4.2e-05,0.000111
4.2e-05,0.000114
4.2e-05,0.000117
4.2e-05,0.00012
4.2e-05,0.000123
4.2e-05,0.000126
4.2e-05,0.000129
4.2e-05,0.000132
4.2e-05,0.000135
4.2e-05,0.000138
4.2e-05,0.000141
4.2e-05,0.000144
4.2e-05,0.000147
4.2e-05,0.00015
4.5e-05,3e-06
4.5e-05,6e-06
4.5e-05,9e-06
4.5e-05,1.2e-05
4.5e-05,1.5e-05
4.5e-05,1.8e-05
4.5e-05,2.1e-05
4.5e-05,2.4e-05
4.5e-05,2.7e-05
4.5e-05,3e-05
4.5e-05,3.3e-05
4.5e-05,3.6e-05
4.5e-05,3.9e-05
4.5e-05,4.2e-05
4.5e-05,4.5e-05
4.5e-05,4.8e-05
4.5e-05,5.1e-05
4.5e-05,5.4e-05
4.5e-05,5.7e-05
4.5e-05,6e-05
4.5e-05,6.3e-05
4.5e-05,6.6e-05
4.5e-05,6.9e-05
4.5e-05,7.2e-05
4.5e-05,7.5e-05
4.5e-05,7.8e-05
4.5e-05,8.1e-05
4.5e-05,8.4e-05
4.5e-05,8.7e-05
4.5e-05,9e-05
4.5e-05,9.3e-05
4.5e-05,9.6e-05
4.5e-05,9.9e-05
4.5e-05,0.000102
4.5e-05,0.000105
4.5e-05,0.000108
4.5e-05,0.000111
4.5e-05,0.000114
4.5e-05,0.000117
4.5e-05,0.00012
4.5e-05,0.000123
4.5e-05,0.000126
4.5e-05,0.000129
4.5e-05,0.000132
4.5e-05,0.000135
4.5e-05,0.000138
4.5e-05,0.000141
4.5e-05,0.000144
4.5e-05,0.000147
4.5e-05,0.00015
4.8e-05,3e-06
4.8e-05,6e-06
4.8e-05,9e-06
4.8e-05,1.2e-05
4.8e-05,1.5e-05
4.8e-05,1.8e-05
4.8e-05,2.1e-05
4.8e-05,2.4e-05
4.8e-05,2.7e-05
4.8e-05,3e-05
4.8e-05,3.3e-05
4.8e-05,3.6e-05
4.8e-05,3.9e-05
4.8e-05,4.2e-05
4.8e-05,4.5e-05
4.8e-05,4.8e-05
4.8e-05,5.1e-05
4.8e-05,5.4e-05
4.8e-05,5.7e-05
4.8e-05,6e-05
4.8e-05,6.3e-05
4.8e-05,6.6e-05
4.8e-05,6.9e-05
4.8e-05,7.2e-05
4.8e-05,7.5e-05
4.8e-05,7.8e-05
4.8e-05,8.1e-05
4.8e-05,8.4e-05
4.8e-05,8.7e-05
4.8e-05,9e-05
4.8e-05,9.3e-05
4.8e-05,9.6e-05
4.8e-05,9.9e-05
4.8e-05,0.000102
4.8e-05,0.000105
4.8e-05,0.000108
4.8e-05,0.000111
4.8e-05,0.000114
4.8e-05,0.000117
4.8e-05,0.00012
4.8e-05,0.000123
4.8e-05,0.000126
4.8e-05,0.000129
4.8e-05,0.000132
4.8e-05,0.000135
4.8e-05,0.000138
4.8e-05,0.000141
4.8e-05,0.000144
4.8e-05,0.000147
4.8e-05,0.00015
5.1e-05,3e-06
5.1e-05,6e-06
5.1e-05,9e-06
5.1e-05,1.2e-05
5.1e-05,1.5e-05
5.1e-05,1.8e-05
5.1e-05,2.1e-05
5.1e-05,2.4e-05
5.1e-05,2.7e-05
5.1e-05,3e-05
5.1e-05,3.3e-05
5.1e-05,3.6e-05
5.1e-05,3.9e-05
5.1e-05,4.2e-05
5.1e-05,4.5e-05
5.1e-05,4.8e-05
5.1e-05,5.1e-05
5.1e-05,5.4e-05
5.1e-05,5.7e-05
5.1e-05,6e-05
5.1e-05,6.3e-05
5.1e-05,6.6e-05
5.1e-05,6.9e-05
5.1e-05,7.2e-05
5.1e-05,7.5e-05
5.1e-05,7.8e-05
5.1e-05,8.1e-05
5.1e-05,8.4e-05
5.1e-05,8.7e-05
5.1e-05,9e-05
5.1e-05,9.3e-05
5.1e-05,9.6e-05
5.1e-05,9.9e-05
5.1e-05,0.000102
5.1e-05,0.000105
5.1e-05,0.000108
5.1e-05,0.000111
5.1e-05,0.000114
5.1e-05,0.000117
5.1e-05,0.00012
5.1e-05,0.000123
5.1e-05,0.000126
5.1e-05,0.000129
5.1e-05,0.000132
5.1e-05,0.000135
5.1e-05,0.000138
5.1e-05,0.000141
5.1e-05,0.000144
5.1e-05,0.000147
5.1e-05,0.00015
5.4e-05,3e-06
5.4e-05,6e-06
5.4e-05,9e-06
5.4e-05,1.2e-05
5.4e-05,1.5e-05
5.4e-05,1.8e-05
5.4e-05,2.1e-05
5.4e-05,2.4e-05
5.4e-05,2.7e-05
5.4e-05,3e-05
5.4e-05,3.3e-05
